transaction_id,account_id,amount,currency,status,merchant,payment_method,timestamp
txn_03885faeaa18,acc_00253,894.78,SGD,denied,7-Eleven,googlepay,2026-08-05T00:01:25Z
txn_af50d9a536c6,acc_00190,827.63,SGD,completed,Grab,paynow,2026-08-05T00:01:25Z
txn_7cca162ce3be,acc_00461,38.90,SGD,completed,McDonald's,paynow,2026-08-05T00:02:08Z
txn_7c27ebed9597,acc_00321,276.69,SGD,pending,Grab,card,2026-08-05T00:02:22Z
txn_4b278d254b8a,acc_00300,745.97,SGD,completed,Shopee,applepay,2026-08-05T00:02:22Z
txn_0c494da8b0e3,acc_00234,720.08,SGD,pending,NTUC FairPrice,card,2026-08-05T00:02:36Z
txn_916802b855ed,acc_00386,107.97,SGD,completed,Guardian,googlepay,2026-08-05T00:02:37Z
txn_d80c009ad662,acc_00108,226.46,SGD,completed,Cold Storage,card,2026-08-05T00:02:47Z
txn_3fc42de4f84b,acc_00394,621.44,SGD,pending,Guardian,grabpay,2026-08-05T00:03:11Z
txn_23987d68ab68,acc_00472,651.13,SGD,denied,Grab,grabpay,2026-08-05T00:03:13Z
txn_1237fca98ec4,acc_00381,654.84,SGD,completed,7-Eleven,grabpay,2026-08-05T00:03:15Z
txn_35592ae78263,acc_00383,341.35,SGD,pending,Starbucks,card,2026-08-05T00:03:16Z
txn_221d422aa333,acc_00340,169.05,SGD,denied,Shopee,googlepay,2026-08-05T00:03:31Z
txn_01f91db8791b,acc_00198,809.80,SGD,completed,NTUC FairPrice,applepay,2026-08-05T00:03:41Z
txn_e2189ca259df,acc_00415,163.56,SGD,denied,Lazada,googlepay,2026-08-05T00:04:10Z
txn_dedc735aed71,acc_00092,59.50,SGD,denied,McDonald's,paynow,2026-08-05T00:04:21Z
txn_553a5ae896e3,acc_00077,487.48,SGD,completed,Shopee,card,2026-08-05T00:04:33Z
txn_0a1bcfea4c02,acc_00131,696.56,MYR,completed,Lazada,googlepay,2026-08-05T00:05:36Z
txn_d1f510b2f1f5,acc_00122,698.49,SGD,completed,Guardian,grabpay,2026-08-05T00:05:38Z
txn_a66c387b95ed,acc_00111,732.21,SGD,completed,Shopee,googlepay,2026-08-05T00:06:11Z
txn_a7b2c4cbf8af,acc_00270,521.14,SGD,completed,Lazada,grabpay,2026-08-05T00:06:15Z
txn_3a656fc3150b,acc_00193,56.44,SGD,completed,Shopee,paynow,2026-08-05T00:06:22Z
txn_8a0cc96fe80c,acc_00205,614.56,SGD,completed,Lazada,applepay,2026-08-05T00:07:26Z
txn_225859812dbf,acc_00102,660.66,SGD,pending,Starbucks,paynow,2026-08-05T00:07:39Z
txn_c658ef9c1ce7,acc_00210,780.04,MYR,completed,Grab,card,2026-08-05T00:07:58Z
txn_5a482ae9d19a,acc_00256,778.20,SGD,pending,Cold Storage,googlepay,2026-08-05T00:08:01Z
txn_4b587b1906c7,acc_00138,511.71,SGD,completed,Watsons,paynow,2026-08-05T00:08:05Z
txn_6acb2f600bda,acc_00271,176.21,SGD,pending,Guardian,card,2026-08-05T00:08:28Z
txn_812030efdb8f,acc_00148,507.23,SGD,completed,Cold Storage,card,2026-08-05T00:08:55Z
txn_31b28c449135,acc_00146,242.68,SGD,completed,Starbucks,paynow,2026-08-05T00:09:04Z
txn_e05c4799fe15,acc_00119,681.01,SGD,completed,Guardian,card,2026-08-05T00:09:18Z
txn_f76220dff7af,acc_00169,16.75,SGD,completed,Guardian,applepay,2026-08-05T00:09:20Z
txn_764e915271be,acc_00465,819.56,SGD,denied,Guardian,applepay,2026-08-05T00:09:20Z
txn_5847239ebb02,acc_00477,450.72,SGD,pending,7-Eleven,paynow,2026-08-05T00:09:22Z
txn_e544b02fecf1,acc_00448,467.27,SGD,pending,Grab,paynow,2026-08-05T00:09:39Z
txn_9694e1f32f7b,acc_00205,270.31,SGD,denied,McDonald's,applepay,2026-08-05T00:10:52Z
txn_404ee9c38706,acc_00289,252.57,SGD,pending,Lazada,googlepay,2026-08-05T00:11:38Z
txn_1762234a352d,acc_00306,230.25,SGD,completed,Grab,googlepay,2026-08-05T00:11:56Z
txn_4b198a3742ce,acc_00239,652.89,SGD,pending,McDonald's,googlepay,2026-08-05T00:12:11Z
txn_db07a8a259db,acc_00006,287.62,SGD,completed,McDonald's,card,2026-08-05T00:12:14Z
txn_b0571c459bff,acc_00143,502.04,SGD,completed,Guardian,grabpay,2026-08-05T00:12:19Z
txn_50ced02aefb0,acc_00429,418.65,SGD,denied,Lazada,applepay,2026-08-05T00:12:38Z
txn_681f667a229b,acc_00133,784.77,SGD,pending,Watsons,card,2026-08-05T00:12:46Z
txn_8f8be9acf1f6,acc_00435,742.11,SGD,denied,Lazada,grabpay,2026-08-05T00:13:20Z
txn_b213a69cdf19,acc_00418,860.99,SGD,denied,Starbucks,card,2026-08-05T00:13:22Z
txn_73b46cfd3025,acc_00076,709.20,SGD,pending,McDonald's,googlepay,2026-08-05T00:13:39Z
txn_c5a0662d5784,acc_00254,102.08,SGD,denied,Grab,applepay,2026-08-05T00:13:44Z
txn_5bcf08ba1ff3,acc_00029,246.22,SGD,completed,Grab,paynow,2026-08-05T00:13:47Z
txn_0c4fdb5ef0e7,acc_00230,809.23,SGD,completed,Starbucks,paynow,2026-08-05T00:13:54Z
txn_a0eb65f2e944,acc_00220,494.37,MYR,completed,NTUC FairPrice,paynow,2026-08-05T00:14:06Z
txn_b83cc487f79f,acc_00265,366.74,SGD,pending,McDonald's,googlepay,2026-08-05T00:14:24Z
txn_5df1f1154cd5,acc_00429,299.80,SGD,completed,McDonald's,card,2026-08-05T00:15:02Z
txn_284197269736,acc_00136,565.41,SGD,pending,Starbucks,googlepay,2026-08-05T00:15:06Z
txn_c58009678b9c,acc_00249,606.34,SGD,completed,NTUC FairPrice,grabpay,2026-08-05T00:15:47Z
txn_d0714f2da22b,acc_00341,525.24,SGD,completed,Lazada,googlepay,2026-08-05T00:15:51Z
txn_51da48615437,acc_00081,395.77,SGD,completed,Guardian,googlepay,2026-08-05T00:17:05Z
txn_86c0a2d17f11,acc_00215,363.29,SGD,completed,7-Eleven,grabpay,2026-08-05T00:17:15Z
txn_61c60d9c5159,acc_00295,268.04,SGD,completed,Starbucks,grabpay,2026-08-05T00:17:41Z
txn_8495100edd10,acc_00336,625.50,SGD,denied,NTUC FairPrice,grabpay,2026-08-05T00:17:42Z
txn_aa5c0f24f316,acc_00306,159.44,SGD,pending,McDonald's,paynow,2026-08-05T00:17:53Z
txn_f4b4f63d1245,acc_00304,340.72,SGD,completed,Grab,card,2026-08-05T00:18:32Z
txn_28ace176020f,acc_00047,872.50,SGD,completed,Watsons,paynow,2026-08-05T00:18:55Z
